cityName,population,coords,countryName,continent,officialLanguage
Yuxi,2249502,Point(102.54317 24.34953),People's Republic of China,Asia,Putonghua
Luzhou,4218427,Point(105.44093 28.89182),People's Republic of China,Asia,Putonghua
Binzhou,3928568,Point(118.0125 37.380555555),People's Republic of China,Asia,Putonghua
Pudong,5681512,Point(121.539722222 31.223055555),People's Republic of China,Asia,Putonghua
Luzhou,4254149,Point(105.44093 28.89182),People's Republic of China,Asia,Putonghua
Fuzhou,3614866,Point(116.35775 27.98139),People's Republic of China,Asia,Putonghua
Fuzhou,4047200,Point(116.35775 27.98139),People's Republic of China,Asia,Putonghua
Ankang,2493436,Point(109.02352 32.68774),People's Republic of China,Asia,Putonghua
Linyi,11018365,Point(118.35019 35.10408),People's Republic of China,Asia,Putonghua
Shangrao,6491088,Point(117.963333333 28.441944444),People's Republic of China,Asia,Putonghua
Yichun,5573200,Point(114.38303 27.80412),People's Republic of China,Asia,Putonghua
Binhai New Area,1973752,Point(117.710833333 39.003333333),People's Republic of China,Asia,Putonghua
Hebi,1565973,Point(114.2887 35.74975),People's Republic of China,Asia,Putonghua
Qingdao,10071722,Point(120.4 36.116666666),People's Republic of China,Asia,Putonghua
Loudi,3826996,Point(111.99742 27.73776),People's Republic of China,Asia,Putonghua
Dazhou,5385422,Point(107.49472 31.2152),People's Republic of China,Asia,Putonghua
Chenzhou,4744500,Point(113.02667 25.79893),People's Republic of China,Asia,Putonghua
Yuncheng,5134779,Point(110.99796 35.03042),People's Republic of China,Asia,Putonghua
Fuyang,8200264,Point(115.80447 32.89856),People's Republic of China,Asia,Putonghua
Pingxiang,1933200,Point(113.85 27.633333333),People's Republic of China,Asia,Putonghua
Dazhou,5468097,Point(107.49472 31.2152),People's Republic of China,Asia,Putonghua
Jining,8357897,Point(116.566666666 35.4),People's Republic of China,Asia,Putonghua
Suzhou,5324476,Point(116.96833 33.63328),People's Republic of China,Asia,Putonghua
Yiyang,4413800,Point(112.333333333 28.583333333),People's Republic of China,Asia,Putonghua
