cityName,population,coords,countryName,continent,officialLanguage
Zhenjiang,3113384,Point(119.45508 32.21086),People's Republic of China,Asia,Putonghua
Jiangmen,4630300,Point(113.08333 22.58333),People's Republic of China,Asia,Putonghua
Xiaogan,4921000,Point(113.91096 30.92731),People's Republic of China,Asia,Putonghua
Jingmen,2897500,Point(112.211388888 31.038055555),People's Republic of China,Asia,Putonghua
Taiyuan,1712000,Point(112.54245 37.87326),People's Republic of China,Asia,Putonghua
Shaoxing,5270977,Point(120.57864 30.00237),People's Republic of China,Asia,Putonghua
Zhuhai,1891100,Point(113.571944444 22.274166666),People's Republic of China,Asia,Putonghua
Ezhou,1079353,Point(114.88418 30.39724),People's Republic of China,Asia,Putonghua
Xiangyang,5260951,Point(112.15307 32.06536),People's Republic of China,Asia,Putonghua
Yingkou,2296540,Point(122.22972 40.66525),People's Republic of China,Asia,Putonghua
Shaoxing,5270977,Point(120.583333333 30.0),People's Republic of China,Asia,Putonghua
Chaozhou,2656600,Point(116.63 23.67),People's Republic of China,Asia,Putonghua
Handan,9413990,Point(114.48937 36.61161),People's Republic of China,Asia,Putonghua
Taiyuan,5304061,Point(112.54245 37.87326),People's Republic of China,Asia,Putonghua
Algiers,2364230,Point(3.058611111 36.776388888),Algeria,Africa,Standard Algerian Berber
Chengde,3473201,Point(117.932222222 40.973888888),People's Republic of China,Asia,Putonghua
Huanggang,6333000,Point(114.875 30.45),People's Republic of China,Asia,Putonghua
Zhongshan,4418060,Point(113.35 22.533333333),People's Republic of China,Asia,Putonghua
Jincheng,2194545,Point(112.8483 35.49056),People's Republic of China,Asia,Putonghua
Yingkou,2428534,Point(122.22972 40.66525),People's Republic of China,Asia,Putonghua
Shiyan,3398000,Point(110.7755 32.63507),People's Republic of China,Asia,Putonghua
Ningbo,9404283,Point(121.549166666 29.875),People's Republic of China,Asia,Putonghua
Dongguan,10466625,Point(113.74928 23.04749),People's Republic of China,Asia,Putonghua
Xianning,2548400,Point(114.32882 29.83411),People's Republic of China,Asia,Putonghua
Panjin,1392493,Point(122.06339 41.11983),People's Republic of China,Asia,Putonghua
Huzhou,3367579,Point(120.0875 30.8925),People's Republic of China,Asia,Putonghua
Meizhou,4378800,Point(116.11913 24.29977),People's Republic of China,Asia,Putonghua
Shanwei,2738482,Point(115.333056 22.766389),People's Republic of China,Asia,Putonghua
Qingyuan,3874000,Point(113.05075 23.68425),People's Republic of China,Asia,Putonghua
Lianyungang,4599360,Point(119.1801 34.59057),People's Republic of China,Asia,Putonghua
Huaihua,4979600,Point(109.959167 27.549444),People's Republic of China,Asia,Putonghua
Taizhou,5968838,Point(121.42213 28.6583),People's Republic of China,Asia,Putonghua
Shijiazhuang,10640458,Point(114.51 38.0425),People's Republic of China,Asia,Putonghua
Jiaxing,4501657,Point(120.75 30.7522),People's Republic of China,Asia,Putonghua
Leshan,3235759,Point(103.75755 29.5854),People's Republic of China,Asia,Putonghua
Suining,3252619,Point(105.57373 30.50984),People's Republic of China,Asia,Putonghua
Yibin,4588804,Point(104.63997 28.75961),People's Republic of China,Asia,Putonghua
Guangyuan,2484122,Point(105.83985 32.43529),People's Republic of China,Asia,Putonghua
